iter	Passed	Remaining
285	2074	8806
286	2080	8792
287	2089	8795
288	2094	8778
289	2103	8774
290	2111	8774
291	2119	8766
292	2124	8750
293	2131	8742
294	2137	8731
295	2144	8722
296	2153	8722
297	2159	8709
298	2166	8703
299	2175	8702
300	2180	8685
301	2202	8738
302	2211	8734
303	2224	8750
304	2230	8737
305	2235	8723
306	2242	8714
307	2249	8704
308	2256	8698
309	2266	8702
310	2271	8686
311	2278	8674
312	2283	8661
313	2288	8642
314	2300	8653
315	2311	8659
316	2317	8647
317	2329	8659
318	2335	8648
319	2349	8662
320	2363	8681
321	2371	8675
322	2379	8669
323	2385	8660
324	2390	8641
325	2394	8624
326	2398	8605
327	2402	8585
328	2407	8567
329	2410	8547
330	2416	8533
331	2421	8517
332	2424	8498
333	2429	8480
334	2432	8460
335	2437	8442
336	2441	8424
337	2444	8404
338	2448	8386
339	2452	8366
340	2455	8346
341	2459	8328
342	2464	8314
343	2468	8294
344	2472	8276
345	2476	8260
346	2480	8240
347	2483	8220
348	2486	8201
349	2491	8187
350	2497	8174
351	2502	8161
352	2508	8149
353	2514	8139
354	2519	8125
355	2523	8108
356	2527	8092
357	2532	8078
358	2537	8063
359	2541	8046
360	2545	8031
361	2550	8016
362	2553	7999
363	2557	7981
364	2562	7968
365	2572	7971
366	2577	7957
367	2585	7951
368	2593	7950
369	2600	7942
370	2607	7935
371	2615	7929
372	2622	7923
373	2628	7912
374	2633	7901
375	2639	7889
376	2645	7880
377	2649	7865
378	2655	7855
379	2659	7839
380	2663	7823
381	2669	7813
382	2675	7804
383	2680	7791
384	2687	7783
385	2691	7768
386	2696	7756
387	2701	7741
388	2745	7842
389	2753	7838
390	2762	7836
391	2803	7922
392	2808	7909
393	2828	7940
394	2842	7951
395	2846	7936
396	2865	7962
397	2872	7953
398	2889	7972
399	2902	7981
400	2921	8006
401	2942	8036
402	2959	8055
403	2972	8063
404	2993	8092
405	3005	8097
406	3015	8098
407	3034	8122
408	3044	8121
409	3058	8131
410	3073	8144
411	3082	8140
412	3087	8126
413	3100	8134
414	3108	8128
415	3126	8146
416	3135	8144
417	3148	8148
418	3156	8143
419	3166	8142
420	3184	8160
421	3212	8205
422	3222	8204
423	3235	8210
424	3245	8209
425	3266	8235
426	3285	8255
427	3306	8280
428	3326	8305
429	3335	8300
430	3344	8295
431	3352	8288
432	3366	8295
433	3382	8307
434	3390	8299
435	3403	8306
436	3415	8307
437	3426	8307
438	3437	8309
439	3446	8303
440	3459	8306
441	3470	8306
442	3488	8323
443	3496	8316
444	3503	8306
445	3511	8297
446	3532	8322
447	3542	8317
448	3561	8335
449	3566	8321
450	3573	8312
451	3593	8332
452	3599	8318
453	3605	8306
454	3612	8297
455	3621	8290
456	3630	8286
457	3638	8278
458	3646	8269
459	3650	8253
460	3655	8238
461	3660	8224
462	3664	8207
463	3669	8193
464	3673	8177
465	3677	8160
466	3683	8147
467	3687	8130
468	3692	8116
469	3696	8101
470	3700	8085
471	3705	8069
472	3709	8054
473	3714	8041
474	3719	8027
475	3725	8014
476	3731	8002
477	3736	7988
478	3740	7973
479	3744	7957
480	3749	7942
481	3753	7927
482	3758	7913
483	3762	7897
484	3765	7880
485	3769	7863
486	3772	7847
487	3776	7832
488	3781	7817
489	3785	7802
490	3790	7789
491	3798	7781
492	3802	7766
493	3806	7751
494	3810	7736
495	3815	7722
496	3818	7706
497	3822	7691
498	3826	7675
499	3829	7659
500	3833	7643
501	3836	7628
502	3841	7615
503	3845	7599
504	3848	7583
505	3853	7569
506	3858	7557
507	3865	7548
508	3873	7540
509	3879	7530
510	3885	7520
511	3891	7508
512	3896	7496
513	3900	7481
514	3904	7467
515	3924	7484
516	3952	7516
517	3959	7506
518	3968	7500
519	4000	7539
520	4008	7532
521	4016	7525
522	4024	7518
523	4031	7508
524	4036	7495
525	4044	7489
526	4060	7496
527	4067	7487
528	4071	7474
529	4079	7465
530	4089	7462
531	4097	7454
532	4104	7446
533	4110	7435
534	4117	7426
535	4128	7424
536	4135	7416
537	4145	7412
538	4154	7407
539	4159	7394
540	4165	7384
541	4170	7371
542	4175	7359
543	4179	7344
544	4184	7332
545	4190	7321
546	4196	7311
547	4201	7298
548	4218	7308
549	4228	7304
550	4233	7291
551	4238	7279
552	4244	7268
553	4249	7257
554	4257	7248
555	4264	7240
556	4270	7230
557	4279	7224
558	4286	7215
559	4293	7206
560	4305	7206
561	4310	7195
562	4322	7193
563	4332	7189
564	4336	7176
565	4340	7162
566	4345	7151
567	4353	7143
568	4359	7132
569	4370	7131
570	4378	7123
571	4387	7118
572	4394	7108
573	4400	7098
574	4411	7096
575	4420	7090
576	4432	7090
577	4443	7088
578	4448	7076
579	4454	7065
580	4462	7059
581	4469	7049
582	4477	7042
583	4489	7041
584	4496	7033
585	4501	7021
586	4507	7011
587	4516	7005
588	4524	6998
589	4531	6990
590	4538	6980
591	4546	6972
592	4552	6963
593	4560	6956
594	4568	6949
595	4572	6935
596	4584	6934
597	4592	6927
598	4599	6918
599	4603	6905
600	4612	6900
601	4619	6890
602	4631	6889
603	4639	6882
604	4647	6874
605	4651	6862
606	4656	6850
607	4660	6837
608	4665	6825
609	4669	6813
610	4674	6800
611	4678	6787
612	4683	6776
613	4687	6764
614	4694	6755
615	4699	6743
616	4704	6732
617	4709	6721
618	4714	6709
619	4718	6697
620	4723	6686
621	4727	6673
622	4733	6663
623	4738	6651
624	4743	6640
625	4747	6628
626	4752	6617
627	4757	6605
628	4761	6592
629	4765	6581
630	4769	6567
631	4773	6555
632	4777	6543
633	4780	6530
634	4786	6519
635	4790	6507
636	4797	6499
637	4801	6487
638	4805	6475
639	4809	6462
640	4814	6451
641	4818	6440
642	4822	6427
643	4828	6418
644	4832	6406
645	4837	6394
646	4841	6382
647	4845	6370
648	4848	6358
649	4854	6347
650	4859	6337
651	4862	6324
652	4868	6315
653	4872	6303
654	4876	6290
655	4881	6280
656	4886	6270
657	4890	6258
658	4895	6248
659	4900	6237
660	4904	6224
661	4908	6214
662	4914	6203
663	4920	6194
664	4927	6186
665	4938	6183
666	4948	6179
667	4954	6170
668	4958	6158
669	4961	6146
670	4965	6134
671	4969	6123
672	4973	6112
673	4977	6099
674	4981	6088
675	4984	6076
676	4989	6065
677	4993	6054
678	4997	6042
679	5001	6031
680	5005	6019
681	5010	6009
682	5015	5998
683	5018	5986
684	5022	5976
685	5026	5964
686	5030	5953
687	5034	5941
688	5037	5929
689	5040	5917
690	5044	5906
691	5048	5894
692	5051	5882
693	5056	5871
694	5059	5860
695	5063	5849
696	5068	5839
697	5072	5827
698	5076	5816
699	5079	5805
700	5084	5794
701	5092	5789
702	5097	5778
703	5102	5768
704	5106	5758
705	5109	5746
706	5113	5735
707	5116	5723
708	5119	5711
709	5123	5701
710	5127	5690
711	5131	5679
712	5134	5667
713	5137	5655
714	5139	5642
715	5142	5631
716	5145	5618
717	5147	5606
718	5151	5595
719	5153	5583
720	5156	5571
721	5159	5559
722	5162	5548
723	5165	5536
724	5168	5524
725	5171	5513
726	5174	5501
727	5177	5490
728	5179	5478
729	5182	5466
730	5185	5454
731	5188	5443
732	5191	5431
733	5193	5420
734	5196	5408
735	5199	5397
736	5201	5385
737	5204	5374
738	5207	5362
739	5210	5351
740	5213	5339
741	5215	5328
742	5218	5316
743	5221	5305
744	5224	5294
745	5226	5282
746	5229	5271
747	5232	5260
748	5235	5249
749	5238	5238
750	5240	5226
751	5243	5215
752	5246	5204
753	5249	5193
754	5252	5182
755	5255	5171
756	5258	5161
757	5261	5150
758	5264	5139
759	5267	5128
760	5270	5118
761	5273	5107
762	5275	5096
763	5278	5085
764	5281	5074
765	5284	5063
766	5287	5052
767	5289	5041
768	5292	5031
769	5295	5020
770	5298	5009
771	5301	4999
772	5303	4988
773	5306	4977
774	5309	4966
775	5312	4956
776	5315	4945
777	5317	4935
778	5320	4924
779	5323	4913
780	5326	4903
781	5329	4892
782	5332	4882
783	5334	4872
784	5337	4861
785	5340	4851
786	5342	4840
787	5346	4830
788	5348	4819
789	5351	4809
790	5353	4798
791	5356	4788
792	5359	4778
793	5362	4767
794	5365	4758
795	5368	4747
796	5370	4737
797	5373	4727
798	5376	4717
799	5379	4707
800	5382	4696
801	5385	4686
802	5387	4676
803	5390	4666
804	5394	4657
805	5397	4647
806	5400	4637
807	5403	4627
808	5406	4618
809	5409	4608
810	5412	4598
811	5415	4588
812	5417	4578
813	5420	4568
814	5423	4558
815	5426	4548
816	5428	4538
817	5431	4528
818	5434	4518
819	5437	4509
820	5440	4499
821	5443	4489
822	5446	4480
823	5449	4470
824	5452	4461
825	5455	4451
826	5458	4442
827	5462	4433
828	5465	4423
829	5468	4414
830	5471	4404
831	5474	4395
832	5477	4385
833	5481	4377
834	5484	4367
835	5487	4358
836	5489	4348
837	5492	4338
838	5495	4329
839	5497	4319
840	5501	4310
841	5503	4300
842	5506	4291
843	5509	4282
844	5512	4272
845	5515	4263
846	5517	4253
847	5520	4244
848	5523	4235
849	5525	4225
850	5528	4216
851	5531	4206
852	5533	4197
853	5536	4187
854	5539	4178
855	5542	4169
856	5544	4160
857	5547	4150
858	5549	4141
859	5552	4132
860	5555	4123
861	5557	4113
862	5560	4104
863	5563	4095
864	5565	4085
865	5568	4077
866	5571	4067
867	5574	4058
868	5576	4049
869	5579	4040
870	5582	4031
871	5584	4021
872	5587	4013
873	5590	4003
874	5592	3994
875	5595	3985
876	5597	3976
877	5600	3967
878	5603	3958
879	5606	3949
880	5608	3940
881	5611	3931
882	5614	3922
883	5617	3914
884	5619	3905
885	5622	3896
886	5624	3887
887	5627	3878
888	5630	3869
889	5632	3860
890	5636	3852
891	5639	3843
892	5642	3835
893	5645	3826
894	5648	3817
895	5650	3809
896	5652	3800
897	5655	3791
898	5658	3782
899	5661	3774
900	5663	3765
901	5666	3756
902	5669	3748
903	5671	3739
904	5674	3730
905	5677	3722
906	5679	3713
907	5683	3705
908	5686	3697
909	5689	3689
910	5692	3680
911	5695	3672
912	5698	3663
913	5700	3655
914	5703	3646
915	5706	3638
916	5709	3630
917	5712	3621
918	5715	3613
919	5717	3604
920	5720	3596
921	5723	3587
922	5725	3579
923	5728	3571
924	5731	3562
925	5733	3554
926	5737	3546
927	5740	3538
928	5743	3530
929	5746	3522
930	5750	3514
931	5752	3505
932	5756	3498
933	5758	3489
934	5761	3481
935	5765	3474
936	5768	3466
937	5771	3457
938	5774	3449
939	5777	3442
940	5780	3433
941	5784	3426
942	5787	3418
943	5791	3410
944	5793	3402
945	5797	3395
946	5800	3387
947	5804	3379
948	5807	3371
949	5810	3364
950	5813	3356
951	5816	3348
952	5819	3340
953	5823	3332
954	5826	3324
955	5829	3317
956	5832	3309
957	5835	3301
958	5838	3293
959	5842	3286
960	5846	3279
961	5849	3271
962	5852	3263
963	5855	3255
964	5859	3248
965	5862	3240
966	5865	3233
967	5869	3225
968	5873	3218
969	5877	3211
970	5880	3203
971	5884	3196
972	5887	3188
973	5890	3181
974	5894	3173
975	5897	3166
976	5900	3158
977	5904	3151
978	5907	3143
979	5910	3136
980	5913	3128
981	5916	3120
982	5919	3113
983	5922	3105
984	5926	3098
985	5928	3090
986	5932	3083
987	5934	3075
988	5938	3068
989	5941	3060
990	5944	3053
991	5947	3045
992	5951	3038
993	5954	3031
994	5957	3023
995	5960	3016
996	5963	3008
997	5966	3001
998	5969	2993
999	5972	2986
1000	5975	2978
1001	5979	2971
1002	5982	2964
1003	5985	2957
1004	5988	2949
1005	5992	2942
1006	5995	2935
1007	5998	2927
1008	6001	2920
1009	6005	2913
1010	6008	2906
1011	6011	2898
1012	6014	2891
1013	6017	2884
1014	6020	2876
1015	6023	2869
1016	6026	2862
1017	6029	2854
1018	6032	2847
1019	6035	2840
1020	6040	2833
1021	6042	2826
1022	6047	2819
1023	6051	2812
1024	6054	2805
1025	6057	2798
1026	6060	2791
1027	6063	2783
1028	6066	2776
1029	6069	2769
1030	6073	2762
1031	6076	2755
1032	6079	2748
1033	6082	2741
1034	6086	2734
1035	6089	2727
1036	6093	2720
1037	6096	2713
1038	6101	2706
1039	6103	2699
1040	6107	2692
1041	6110	2685
1042	6114	2678
1043	6116	2671
1044	6120	2665
1045	6123	2657
1046	6127	2651
1047	6129	2643
1048	6133	2637
1049	6136	2629
1050	6139	2623
1051	6142	2615
1052	6145	2608
1053	6148	2601
1054	6151	2594
1055	6154	2587
1056	6157	2580
1057	6161	2574
1058	6164	2566
1059	6167	2560
1060	6170	2552
1061	6173	2545
1062	6176	2539
1063	6179	2532
1064	6182	2525
1065	6185	2518
1066	6189	2511
1067	6191	2504
1068	6195	2497
1069	6197	2490
1070	6200	2483
1071	6203	2476
1072	6206	2469
1073	6209	2462
1074	6211	2455
1075	6214	2448
1076	6216	2441
1077	6219	2434
1078	6222	2427
1079	6224	2420
1080	6227	2413
1081	6230	2406
1082	6232	2399
1083	6235	2392
1084	6237	2385
1085	6240	2379
1086	6243	2372
1087	6245	2365
1088	6248	2358
1089	6251	2351
1090	6254	2344
1091	6256	2337
1092	6259	2330
1093	6262	2324
1094	6265	2317
1095	6268	2310
1096	6270	2303
1097	6273	2296
1098	6275	2289
1099	6278	2283
1100	6281	2276
1101	6283	2269
1102	6286	2262
1103	6288	2255
1104	6291	2249
1105	6294	2242
1106	6297	2235
1107	6299	2228
1108	6302	2222
1109	6305	2215
1110	6308	2208
1111	6311	2202
1112	6313	2195
1113	6316	2188
1114	6318	2181
1115	6321	2175
1116	6323	2168
1117	6326	2161
1118	6328	2154
1119	6331	2148
1120	6333	2141
1121	6336	2134
1122	6338	2127
1123	6341	2121
1124	6343	2114
1125	6345	2107
1126	6348	2101
1127	6350	2094
1128	6353	2087
1129	6355	2081
1130	6358	2074
1131	6360	2067
1132	6363	2061
1133	6366	2054
1134	6368	2048
1135	6371	2041
1136	6373	2034
1137	6376	2028
1138	6379	2022
1139	6382	2015
1140	6385	2009
1141	6387	2002
1142	6390	1995
1143	6393	1989
1144	6395	1982
1145	6398	1976
1146	6400	1969
1147	6403	1963
1148	6405	1956
1149	6408	1950
1150	6411	1943
1151	6413	1937
1152	6416	1931
1153	6418	1924
1154	6421	1918
1155	6423	1911
1156	6425	1904
1157	6428	1898
1158	6431	1892
1159	6434	1885
1160	6437	1879
1161	6439	1873
1162	6442	1866
1163	6445	1860
1164	6448	1854
1165	6451	1848
1166	6454	1841
1167	6458	1835
1168	6461	1829
1169	6465	1823
1170	6468	1817
1171	6472	1811
1172	6475	1805
1173	6479	1799
1174	6482	1793
1175	6486	1787
1176	6489	1781
1177	6493	1774
1178	6496	1768
1179	6499	1762
1180	6503	1756
1181	6507	1750
1182	6510	1744
1183	6514	1738
1184	6517	1732
1185	6521	1726
1186	6524	1720
1187	6527	1714
1188	6530	1708
1189	6533	1702
1190	6536	1695
1191	6540	1689
1192	6543	1683
1193	6546	1677
1194	6550	1671
1195	6553	1665
1196	6556	1659
1197	6559	1653
1198	6562	1647
1199	6567	1641
1200	6571	1636
1201	6575	1630
1202	6579	1624
1203	6584	1618
1204	6588	1612
1205	6592	1607
1206	6595	1601
1207	6597	1594
1208	6600	1588
1209	6602	1582
1210	6605	1576
1211	6607	1570
1212	6610	1564
1213	6612	1557
1214	6615	1551
1215	6617	1545
1216	6620	1539
1217	6622	1533
1218	6625	1527
1219	6627	1521
1220	6629	1514
1221	6632	1508
1222	6634	1502
1223	6637	1496
1224	6639	1490
1225	6642	1484
1226	6644	1478
1227	6646	1472
1228	6649	1466
1229	6651	1460
1230	6654	1454
1231	6656	1448
1232	6659	1442
1233	6662	1436
1234	6665	1430
1235	6668	1424
1236	6671	1418
1237	6674	1412
1238	6676	1406
1239	6679	1400
1240	6682	1394
1241	6685	1388
1242	6687	1382
1243	6690	1376
1244	6692	1370
1245	6695	1364
1246	6698	1359
1247	6700	1353
1248	6703	1347
1249	6706	1341
1250	6709	1335
1251	6712	1329
1252	6715	1323
1253	6717	1317
1254	6720	1311
1255	6722	1306
1256	6725	1300
1257	6728	1294
1258	6730	1288
1259	6733	1282
1260	6735	1276
1261	6738	1270
1262	6740	1264
1263	6743	1259
1264	6746	1253
1265	6748	1247
1266	6750	1241
1267	6753	1235
1268	6756	1229
1269	6758	1223
1270	6761	1218
1271	6763	1212
1272	6766	1206
1273	6768	1200
1274	6771	1194
1275	6774	1189
1276	6776	1183
1277	6779	1177
1278	6781	1171
1279	6784	1166
1280	6786	1160
1281	6789	1154
1282	6792	1148
1283	6794	1143
1284	6797	1137
1285	6800	1131
1286	6802	1125
1287	6805	1120
1288	6808	1114
1289	6810	1108
1290	6813	1103
1291	6815	1097
1292	6818	1091
1293	6822	1086
1294	6825	1080
1295	6828	1074
1296	6831	1069
1297	6833	1063
1298	6836	1057
1299	6839	1052
1300	6842	1046
1301	6845	1041
1302	6848	1035
1303	6850	1029
1304	6853	1024
1305	6856	1018
1306	6860	1012
1307	6862	1007
1308	6865	1001
1309	6868	996
1310	6870	990
1311	6873	984
1312	6876	979
1313	6878	973
1314	6881	968
1315	6883	962
1316	6886	956
1317	6889	951
1318	6891	945
1319	6894	940
1320	6897	934
1321	6900	929
1322	6903	923
1323	6906	918
1324	6908	912
1325	6911	906
1326	6914	901
1327	6916	895
1328	6919	890
1329	6922	884
1330	6924	879
1331	6927	873
1332	6930	868
1333	6933	862
1334	6935	857
1335	6937	851
1336	6940	846
1337	6943	840
1338	6946	835
1339	6948	829
1340	6951	824
1341	6954	818
1342	6957	813
1343	6959	807
1344	6962	802
1345	6965	796
1346	6967	791
1347	6970	786
1348	6973	780
1349	6976	775
1350	6978	769
1351	6981	764
1352	6984	758
1353	6987	753
1354	6989	748
1355	6992	742
1356	6995	737
1357	6998	731
1358	7001	726
1359	7003	720
1360	7006	715
1361	7009	710
1362	7011	704
1363	7014	699
1364	7017	694
1365	7021	688
1366	7023	683
1367	7026	677
1368	7028	672
1369	7031	667
1370	7034	661
1371	7036	656
1372	7039	651
1373	7041	645
1374	7044	640
1375	7047	635
1376	7049	629
1377	7052	624
1378	7054	619
1379	7057	613
1380	7059	608
1381	7062	602
1382	7064	597
1383	7066	592
1384	7069	586
1385	7071	581
1386	7074	576
1387	7076	571
1388	7079	565
1389	7081	560
1390	7084	555
1391	7086	549
1392	7088	544
1393	7091	539
1394	7093	533
1395	7096	528
1396	7098	523
1397	7100	518
1398	7103	512
1399	7105	507
1400	7108	502
1401	7110	497
1402	7113	491
1403	7115	486
1404	7118	481
1405	7120	476
1406	7124	470
1407	7126	465
1408	7129	460
1409	7132	455
1410	7135	450
1411	7137	444
1412	7140	439
1413	7142	434
1414	7145	429
1415	7147	424
1416	7150	418
1417	7152	413
1418	7155	408
1419	7157	403
1420	7160	398
1421	7162	392
1422	7165	387
1423	7167	382
1424	7170	377
1425	7172	372
1426	7174	367
1427	7177	361
1428	7180	356
1429	7182	351
1430	7185	346
1431	7188	341
1432	7191	336
1433	7194	331
1434	7197	325
1435	7199	320
1436	7202	315
1437	7204	310
1438	7206	305
1439	7209	300
1440	7212	295
1441	7215	290
1442	7217	285
1443	7220	280
1444	7222	274
1445	7225	269
1446	7227	264
1447	7230	259
1448	7232	254
1449	7235	249
1450	7238	244
1451	7240	239
1452	7243	234
1453	7246	229
1454	7248	224
1455	7251	219
1456	7253	214
1457	7256	209
1458	7258	203
1459	7261	198
1460	7264	193
1461	7266	188
1462	7269	183
1463	7271	178
1464	7274	173
1465	7276	168
1466	7279	163
1467	7282	158
1468	7284	153
1469	7287	148
1470	7289	143
1471	7292	138
1472	7294	133
1473	7297	128
1474	7299	123
1475	7302	118
1476	7304	113
1477	7307	108
1478	7309	103
1479	7312	98
1480	7314	93
1481	7317	88
1482	7319	83
1483	7322	78
1484	7324	73
1485	7326	69
1486	7329	64
1487	7331	59
1488	7334	54
1489	7336	49
1490	7339	44
1491	7341	39
1492	7344	34
1493	7346	29
1494	7349	24
1495	7351	19
1496	7354	14
1497	7356	9
1498	7359	4
1499	7361	0
